iter	Passed	Remaining
0	127	127525
1	128	64343
2	130	43225
3	130	32618
4	131	26236
5	132	21990
6	133	18978
7	134	16711
8	135	14931
9	136	13507
10	137	12346
11	138	11389
12	139	10574
13	140	9882
14	141	9274
15	142	8745
16	143	8274
17	143	7852
18	144	7470
19	145	7130
20	146	6821
21	147	6541
22	147	6282
23	148	6053
24	149	5835
25	150	5638
26	151	5451
27	152	5280
28	152	5118
29	153	4967
30	154	4824
31	155	4694
32	155	4568
33	156	4450
34	157	4342
35	158	4244
36	159	4155
37	160	4068
38	161	3982
39	162	3901
40	163	3824
41	164	3751
42	165	3684
43	166	3616
44	167	3554
45	168	3494
46	169	3439
47	170	3387
48	171	3332
49	172	3281
50	173	3232
51	174	3183
52	175	3138
53	176	3094
54	177	3050
55	178	3008
56	179	2967
57	180	2927
58	181	2892
59	182	2856
60	183	2822
61	184	2788
62	185	2754
63	186	2722
64	186	2689
65	187	2658
66	188	2629
67	189	2601
68	190	2573
69	191	2545
70	192	2521
71	193	2495
72	194	2470
73	195	2447
74	196	2424
75	197	2402
76	198	2379
77	199	2357
78	200	2336
79	201	2314
80	202	2295
81	203	2277
82	204	2257
83	205	2239
84	206	2222
85	207	2206
86	208	2188
87	209	2171
88	210	2156
89	211	2142
90	212	2124
91	213	2108
92	214	2094
93	215	2080
94	216	2065
95	217	2050
96	218	2036
97	219	2021
98	220	2006
99	221	1993
100	222	1980
101	223	1966
102	224	1953
103	225	1940
104	226	1927
105	227	1915
106	228	1903
107	229	1891
108	230	1880
109	231	1870
110	232	1858
111	233	1847
112	234	1838
113	234	1826
114	235	1815
115	236	1805
116	237	1794
117	238	1785
118	239	1775
119	240	1766
120	241	1756
121	242	1745
122	243	1737
123	244	1728
124	245	1719
125	246	1710
126	247	1701
127	248	1692
128	249	1684
129	250	1675
130	251	1667
131	252	1659
132	253	1650
133	254	1643
134	255	1635
135	256	1627
136	257	1620
137	258	1612
138	259	1605
139	260	1597
140	261	1591
141	262	1584
142	263	1577
143	264	1570
144	265	1562
145	265	1555
146	266	1549
147	268	1543
148	269	1536
149	270	1530
150	271	1523
151	272	1518
152	273	1511
153	274	1505
154	274	1498
155	275	1492
156	276	1486
157	277	1479
158	278	1473
159	279	1467
160	280	1461
161	281	1455
162	282	1449
163	283	1444
164	284	1438
165	285	1432
166	286	1427
167	287	1421
168	288	1416
169	289	1411
170	290	1406
171	291	1401
172	292	1396
173	293	1391
174	294	1386
175	295	1381
176	296	1376
177	297	1372
178	298	1367
179	299	1362
180	300	1358
181	301	1354
182	302	1349
183	303	1344
184	304	1340
185	305	1336
186	306	1331
187	307	1327
188	308	1322
189	309	1318
190	310	1313
191	311	1309
192	312	1304
193	312	1300
194	313	1295
195	314	1291
196	315	1287
197	316	1282
198	317	1278
199	318	1273
200	319	1270
201	320	1265
202	321	1261
203	322	1257
204	323	1253
205	324	1249
206	325	1245
207	326	1241
208	327	1237
209	327	1233
210	329	1230
211	329	1226
212	330	1222
213	331	1218
214	332	1214
215	333	1210
216	334	1206
217	335	1202
218	336	1198
219	336	1194
220	337	1190
221	338	1187
222	339	1183
223	340	1180
224	341	1176
225	342	1173
226	343	1169
227	344	1166
228	345	1162
229	346	1159
230	347	1156
231	348	1153
232	349	1150
233	350	1147
234	351	1144
235	352	1140
236	353	1137
237	354	1134
238	355	1130
239	356	1127
240	356	1123
241	357	1120
242	358	1116
243	359	1113
244	360	1110
245	361	1107
246	362	1104
247	363	1100
248	364	1098
249	365	1095
250	365	1092
251	366	1088
252	367	1085
253	368	1083
254	369	1080
255	370	1077
256	371	1074
257	372	1071
258	373	1067
259	374	1065
260	375	1062
261	376	1060
262	377	1057
263	378	1054
264	379	1051
265	380	1049
266	381	1046
267	382	1043
268	383	1041
269	384	1038
270	384	1035
271	385	1032
272	386	1030
273	387	1027
274	388	1025
275	389	1022
276	390	1020
277	391	1017
278	392	1014
279	393	1012
280	394	1009
281	395	1006
282	396	1004
283	397	1002
